[header]
width=110
height=110
tilewidth=32
tileheight=32
orientation=orthogonal
background_color=0,0,0,255
music=music/Grasslands_Theme.mp3
tileset=tilesetdefs/outdoor.txt

[tilesets]
tileset=../images/tilesheets/collision.png,32,32,0,0
tileset=../images/tilesheets/LPC-outdoor.png,32,32,0,0

[layer]
type=background
data=
992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1306,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1682,1682,1682,992,1810,1745,1746,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,712,418,1447,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,
992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1306,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1682,1682,1682,992,992,992,992,1810,1745,1746,1747,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1445,482,1447,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,
992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1306,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1747,1682,1682,1682,992,992,992,992,992,992,992,1810,1811,1745,1746,1681,992,992,992,992,992,992,992,992,992,992,992,992,1381,1640,645,1511,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,
992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1306,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1747,1682,1682,1682,1682,992,992,992,992,992,992,992,992,992,992,992,1810,1745,1746,1747,1746,1747,1746,1747,1746,1747,1746,1747,1746,1747,485,485,485,1747,1746,1747,1746,1747,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,
992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1306,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1747,1682,1682,1682,1682,1682,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1811,1811,1810,1811,1810,1811,1811,1811,1811,1811,1810,1811,485,485,485,1811,1811,1811,1810,1811,1745,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,
992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1306,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1747,1682,1682,1682,1682,1682,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1445,485,1447,992,992,992,992,992,992,1745,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,
992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1747,1682,1682,1682,1682,1682,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1381,1640,482,269,1383,992,992,992,992,992,992,1745,1747,1681,992,992,992,992,992,992,992,992,992,992,992,992,
992,992,992,992,992,992,992,992,992,992,1684,1746,1747,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1684,1747,1746,1747,1746,1747,1746,1747,1746,1747,1746,1747,1681,992,992,992,992,1684,1747,1682,1682,1682,1682,1682,992,992,992,992,992,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1445,482,418,1575,1511,992,992,992,992,992,992,992,1811,1745,1681,992,992,992,992,992,992,992,992,992,1684,1747,
992,992,992,992,992,992,992,1684,1746,1747,1682,1682,1682,1682,1746,1747,1681,992,992,992,992,992,992,992,992,992,992,1684,1747,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1746,1747,1746,1747,1682,1682,1682,1682,1682,992,992,992,992,992,992,992,1745,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1445,546,1575,1511,992,992,992,992,992,992,992,992,992,992,1745,1747,1746,1747,1746,1747,1746,1747,1746,1747,1748,1811,
992,992,992,992,1684,1746,1747,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1746,1681,992,992,992,992,992,992,1684,1747,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,1682,992,992,992,992,992,992,992,992,992,992,1745,1681,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,992,1381,1382,1640,1575,1511,992,992,992,992,992,992,992,992,992,992,992,992,1811,1811,1811,1810,1811,1810,1811,1811,1811,992,992,
